"Agency","Subagency","accountID","Title","Obligation"
"US Agencies - Non-CFO Act","Consumer Product Safety Commission",1742,"Salaries and Expenses",56263657.12
"US Agencies - Non-CFO Act","Consumer Product Safety Commission",1743,"Gifts and Donations",0
"US Agencies - Non-CFO Act","Corporation for National and Community Service",3152,"Operating Expenses",132901603.15
"US Agencies - Non-CFO Act","Corporation for National and Community Service",3151,"Payment to National Service Trust",125603450
"US Agencies - Non-CFO Act","Corporation for National and Community Service",3148,"Office of Inspector General",1858660.88
"US Agencies - Non-CFO Act","Corporation for National and Community Service",3154,"Office of Inspector General-Recovery Act",0
"US Agencies - Non-CFO Act","Corporation for National and Community Service",3149,"Salaries and Expenses",38468460.36
"US Agencies - Non-CFO Act","Corporation for National and Community Service",3150,"Vista Advance Payment Revolving Fund",6066080.49
"US Agencies - Non-CFO Act","Corporation for National and Community Service",3159,"Gifts and Contributions",840
"US Agencies - Non-CFO Act","Corporation for National and Community Service",3158,"National Service Trust",19226927.41
"US Agencies - Non-CFO Act","Corporation for Public Broadcasting",1199,"Public Broadcasting Fund",445000000
"US Agencies - Non-CFO Act","Council of the Inspectors General on Integrity and Efficiency",3199,"Inspectors General Council Fund",6423729.6
"US Agencies - Non-CFO Act","Court Services and Offender Supervision Agency for the District of Columbia",3169,"Salaries and Expenses",103901900.11
"US Agencies - Non-CFO Act","Defense Nuclear Facilities Safety Board",3050,"Salaries and Expenses, Defense Nuclear Facilities Safety Board",13087330.34
"US Agencies - Non-CFO Act","Delta Regional Authority",3186,"Salaries and Expenses",1931635.04
"US Agencies - Non-CFO Act","Denali Commission",3172,"Expenses",7625787.15
"US Agencies - Non-CFO Act","Denali Commission",3175,"Denali Commission Trust Fund",795429.17
"US Agencies - Non-CFO Act","District of Columbia, District of Columbia Courts",1245,"Federal Payment to the District of Columbia Judicial Survivors and Annuity Fund",0
"US Agencies - Non-CFO Act","District of Columbia, District of Columbia Courts",1362,"District of Columbia Judicial Retirement and Survivor's Annuity Fund",6917961.73
"US Agencies - Non-CFO Act","District of Columbia, District of Columbia General and Special Payments",1248,"Federal Payment for Resident Tuition Support",22948777
"US Agencies - Non-CFO Act","District of Columbia, District of Columbia General and Special Payments",1263,"Federal Payment for School Improvement",2000000
"US Agencies - Non-CFO Act","District of Columbia, District of Columbia General and Special Payments",1264,"Federal Payment to the Criminal Justice Coordinating Council",1090066
"US Agencies - Non-CFO Act","District of Columbia, District of Columbia General and Special Payments",1242,"Federal Payment for the District of Columbia National Guard",249567
"US Agencies - Non-CFO Act","District of Columbia, District of Columbia General and Special Payments",1266,"Federal Payment for Judicial Commissions",324150
"US Agencies - Non-CFO Act","District of Columbia, District of Columbia General and Special Payments",1267,"Federal Payment for Testing and Treatment of HIV/AIDS",2868596
"US Agencies - Non-CFO Act","District of Columbia, District of Columbia General and Special Payments",1255,"Federal Payment for Emergency Planning and Security Costs in the District of Columbia",7458352
"US Agencies - Non-CFO Act","District of Columbia, District of Columbia General and Special Payments",1246,"Federal Payment to the Federal District of Columbia Pension Fund",0
"US Agencies - Non-CFO Act","District of Columbia, District of Columbia General and Special Payments",1305,"District of Columbia Federal Pension Fund",365963190.1
"US Agencies - Non-CFO Act","District of Columbia, District of Columbia General and Special Payments",1292,"Federal Payment for Water and Sewer Services",46344108.1
"US Agencies - Non-CFO Act","Election Assistance Commission",3190,"Salaries and Expenses",3620413.87
"US Agencies - Non-CFO Act","Election Assistance Commission",3191,"Election Reform Programs",0
"US Agencies - Non-CFO Act","Election Assistance Commission",3192,"Election Data Collections Grants",0
"US Agencies - Non-CFO Act","Equal Employment Opportunity Commission",1595,"Salaries and Expenses",168898365.25
"US Agencies - Non-CFO Act","Equal Employment Opportunity Commission",1596,"EEOC Education, Technical Assistance and Training Revolving Fund",978116
"US Agencies - Non-CFO Act","Export-Import Bank of the United States",2562,"Inspector General of the Export-Import Bank",6354166.42
"US Agencies - Non-CFO Act","Export-Import Bank of the United States",2561,"Export-Import Bank Loans Program Account",99214443.74
"US Agencies - Non-CFO Act","Farm Credit System Insurance Corporation",3057,"Farm Credit Insurance Fund",2573933.14
"US Agencies - Non-CFO Act","Federal Communications Commission",1476,"Salaries and Expenses",216643387.96
"US Agencies - Non-CFO Act","Federal Communications Commission",1479,"Universal Service Fund",11468663314
"US Agencies - Non-CFO Act","Federal Communications Commission",1477,"Spectrum Auction Program Account",0
"US Agencies - Non-CFO Act","Federal Deposit Insurance Corporation, Deposit Insurance",1660,"Deposit Insurance Fund",1055655089
"US Agencies - Non-CFO Act","Federal Drug Control Programs",219,"High Intensity Drug Trafficking Areas Program",131567010.21
"US Agencies - Non-CFO Act","Federal Drug Control Programs",234,"Other Federal Drug Control Programs",9045341.8
"US Agencies - Non-CFO Act","Federal Drug Control Programs",235,"Counterdrug Technology Assessment Center",0
"US Agencies - Non-CFO Act","Federal Election Commission",3061,"Salaries and Expenses",36876167.45
"US Agencies - Non-CFO Act","Federal Labor Relations Authority",1667,"Salaries and Expenses",12168223.42
"US Agencies - Non-CFO Act","Federal Maritime Commission",1745,"Salaries and Expenses",12634286.32
"US Agencies - Non-CFO Act","Federal Mediation and Conciliation Service",2863,"Salaries and Expenses",22782146.01
"US Agencies - Non-CFO Act","Federal Mine Safety and Health Review Commission",3068,"Salaries and Expenses",8366303.63
